,Q1,Q2,Q3,Q4,Q5,Q6
1,10.0,9.0,9.0,4.0,3.0,10.0
2,10.0,10.0,7.0,4.0,4.0,10.0
3,10.0,9.0,10.0,4.0,3.0,10.0
4,9.0,10.0,10.0,8.0,5.0,10.0
5,10.0,10.0,10.0,6.0,5.0,3.0
6,10.0,8.0,8.0,5.0,4.0,9.0
7,10.0,10.0,8.0,6.0,5.0,9.0
8,7.0,10.0,10.0,6.0,5.0,9.0
9,10.0,10.0,10.0,9.0,5.0,7.0
10,10.0,9.0,10.0,6.0,5.0,6.0
11,5.0,9.0,10.0,2.0,4.0,
12,10.0,10.0,9.0,6.0,5.0,10.0
13,10.0,10.0,10.0,9.0,5.0,10.0
14,8.0,8.0,10.0,4.0,5.0,8.0
15,7.0,10.0,10.0,9.0,5.0,7.0
16,9.0,10.0,10.0,4.0,5.0,8.0
17,10.0,8.0,10.0,7.0,5.0,8.0
18,10.0,5.0,6.0,4.0,5.0,10.0
19,10.0,10.0,10.0,10.0,4.0,7.0
20,10.0,8.0,10.0,6.0,5.0,7.0
